채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
[사업확장] 각 부문 신규 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48917246&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)마더케이,https://www.saramin.co.kr/zf_user/company-info/view?csn=d1Z4R3hRemNlam9lcCtEazRkTHpSdz09,경기 성남시 분당구,신입·경력,초대졸↑,정규직,정보 없음,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",2024/11/29,2024/12/31
알피바이오 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328813&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)알피바이오,https://www.saramin.co.kr/zf_user/company-info/view?csn=dlVsalhjYU9wYmpjRWpZOVF5ZktNZz09,서울 강남구,신입·경력,학력무관,정규직·계약직,정보 없음,"기술지원, 보안컨설팅, 유지보수, 정보보안, IT컨설팅",2024/11/29,2024/12/04
"단말기(AP, ONT) 품질 검증 시험 인력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49332982&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)콤위즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=Ri8vUTJpTnFSQ2dmNUlqMklPWGdIZz09,서울전체,신입·경력,고졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), 네트워크, 정보통신, H/W",2024/11/27,2024/12/31
한국특수가스㈜ 부문별 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49331516&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국특수가스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=OEh6Wnl2MFh2Z0svYncvZ1B5ZGlzUT09,전북 익산시,신입·경력,학력무관,정규직,정보 없음,"백엔드/서버개발, 웹개발, 웹마스터, 유지보수, 정보보안",2024/11/27,2024/01/04
재귀반사1위기업 연구개발/제조/구매총무/국내·해외영업/전산,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348823&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)에이치제이,https://www.saramin.co.kr/zf_user/company-info/view?csn=MlprUDB4VkNJcHdYT0RjOEJJWkZlZz09,경기전체,신입·경력,초대졸↑,정규직,정보 없음,"유지보수, 네트워크, ERP, AWS, Azure",2024/11/29,2024/12/31
자연어처리 서비스 개발 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404200&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)신한은행,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmExenNMS3JoVXFtSHlzNUVidUJwUT09,서울전체,경력1년↑,학력무관,정규직·계약직,정보 없음,"데이터엔지니어, 딥러닝, 알고리즘, 임베디드, NLP(자연어처리)",2024/11/14,정보 없음
금융SRE(상황관리/장애관리/문제관리) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404187&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)신한은행,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmExenNMS3JoVXFtSHlzNUVidUJwUT09,서울전체,경력3년↑,학력무관,정규직·계약직,정보 없음,"보안컨설팅, 앱개발, 웹개발, 정보보안, 모의해킹",2024/11/14,정보 없음
[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 해외 서구권 인플루언서 마케팅 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498329&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)크레이버코퍼레이션,https://www.saramin.co.kr/zf_user/company-info/view?csn=OXYySUM4MVFJVnpEN25IRDY5VnpMUT09,서울 강남구,경력,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, Python, SQL, 콘텐츠관리",2024/11/29,2024/01/09
[천재교육] AI센터 언어처리팀 각 부문별 개발자 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488174&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)천재교육,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmlVQ2M2cnFWNitnbnlXYzZ1NkM0QT09,서울 금천구,경력 3~15년,학력무관,정규직·계약직,정보 없음,"백엔드/서버개발, 딥러닝, 솔루션, 클라우드, API",2024/11/28,2024/12/28
[Manpower] IT 전 직종 인력모집 공고문,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502225&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)맨파워그룹코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmJ4OVQyczYwSExPNWdMZlh4SGtydz09,서울 강남구,경력무관,학력무관,기간제·계약직,정보 없음,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",2024/12/01,2024/12/31
신한은행 보안 취약점 진단 및 관리 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404138&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)신한은행,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmExenNMS3JoVXFtSHlzNUVidUJwUT09,서울전체,경력5년↑,학력무관,정규직·계약직,정보 없음,"보안컨설팅, 앱개발, 웹개발, 정보보안, 모의해킹",2024/11/14,정보 없음
2024년 코오롱그룹 11월 정기공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49405999&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)코오롱,https://www.saramin.co.kr/zf_user/company-info/view?csn=YkZmR3Q2RFVteEF4RWRZbU84WW1Jdz09,경기 과천시,경력,학력무관,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, SE(시스템엔지니어), 네트워크",2024/11/18,2024/12/01
하반기 부문별 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429812&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)솔라테크,https://www.saramin.co.kr/zf_user/company-info/view?csn=UXZhcVFoU0JONFBxVUt5SjVUVENQdz09,경기전체,신입·경력,초대졸↑,정규직,정보 없음,"ERP, 전산회계, 계산서발행, 관리회계, 기업회계",2024/11/26,2024/12/25
(주)지오시스템리서치 2025 정기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450452&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)지오시스템리서치,https://www.saramin.co.kr/zf_user/company-info/view?csn=U3hvelpvb1dNQk15SDNEUEVCYUpLZz09,경기 군포시,신입·경력,고졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), SI개발, 모델링, 알고리즘",2024/11/25,2024/12/04
교보 DTS 경력 채용공고 (AA),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49466462&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,교보디티에스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=cWJzQytSOFpHN3BsNjY0MUlsNFlKQT09,서울 종로구,경력,학력무관,정규직·계약직,정보 없음,"클라우드, 아키텍쳐, Git, Java, Javascript",2024/11/26,2024/12/05
SY EV solutions 각 부문 신입/경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468134&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,신양금속공업(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=WGdXbzRLSkZuYm1VOUFWOE5laFcvdz09,경기 안산시 단원구,신입·경력,초대졸↑,정규직,정보 없음,"백엔드/서버개발, 네트워크, 정보통신, ERP, H/W",2024/11/28,2024/12/02
[에브리봇(주)] AI융합연구소 AI개발자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489773&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,에브리봇(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=bnF2Rm5hdTR5WWFUY1paaGhLc29tZz09,경기 성남시 분당구,경력2년↑,대졸↑,정규직,정보 없음,"AI(인공지능), C++, C언어, Linux, Pytorch",2024/11/28,채용시
[잼코딩] 강남 대치 코딩학원 알고리즘 강사 파트타임 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502216&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)잼코딩,https://www.saramin.co.kr/zf_user/company-info/view?csn=VzZObVByejlhai9qZnJudlVaN21OZz09,서울전체,경력무관,대졸↑,파트·계약직,정보 없음,"딥러닝, 머신러닝, 알고리즘, C++, C언어",2024/12/01,상시채용
사업계획서 / 제안서 작성 담당자 1년 이상 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502213&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국딥러닝(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=SUdEZmdTNDRnMEJFQzMwZFZnNDNhZz09,서울전체,경력무관,대졸↑,정규직,정보 없음,"알고리즘, 텍스트마이닝, Python, Pytorch, Tensorflow",2024/12/01,2024/12/31
AI 엔지니어(데이터),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502205&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국딥러닝(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=SUdEZmdTNDRnMEJFQzMwZFZnNDNhZz09,서울전체,경력 3~15년,대졸↑,정규직,정보 없음,"딥러닝, 머신러닝, AWS, Azure, Docker",2024/12/01,2024/12/31
[온라인] 잼코딩학원 컴퓨터 코딩 강사 파트타임 모집(재택근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502203&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)잼코딩,https://www.saramin.co.kr/zf_user/company-info/view?csn=VzZObVByejlhai9qZnJudlVaN21OZz09,서울 강남구,경력무관,대졸↑,파트·기간제,정보 없음,"딥러닝, 머신러닝, 빅데이터, 알고리즘, AI(인공지능)",2024/12/01,2024/12/31
[신입/인턴] 제안서 제작 매니저(APM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502202&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국딥러닝(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=SUdEZmdTNDRnMEJFQzMwZFZnNDNhZz09,서울전체,신입,대졸↑,계약직·인턴직,정보 없음,"Python, 제안서, 사업기획, 서비스기획, IT컨설팅",2024/12/01,2024/12/31
[이천SK하이닉스 근무] 산업보안요원 4조3교대 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48296408&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)발렉스서비스,https://www.saramin.co.kr/zf_user/company-info/view?csn=WDIrN3ZGRjU4OExCS2x6YWxYWW5ZZz09,경기전체,신입·경력,학력무관,정규직,정보 없음,"보안컨설팅, 유지보수, 정보보안, 경비원, 경비지도사",2024/11/06,2024/12/05
[직영] DYB최선어학원 각부문 STAFF 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49121764&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)DYB최선어학원,https://www.saramin.co.kr/zf_user/company-info/view?csn=aGRLaThwcjYwbUZ4UkV3ZTU2U2JLdz09,서울 강남구,신입·경력,대졸↑,정규직,정보 없음,"영상처리, 교육행정, 시설관리, Excel, OA",2024/10/28,2024/12/01
[쿠팡 CFS] 2024 4분기 자동화설비보전 대규모 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49310248&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,쿠팡풀필먼트서비스(유),https://www.saramin.co.kr/zf_user/company-info/view?csn=TlRyK3AvTGRTdlIzaXhIQWZCS242Zz09,경기전체,신입·경력,학력무관,정규직,정보 없음,"유지보수, 시설관리, 설비점검, 기계조작원, 설비OP",2024/11/21,2024/12/21
네트워크 유지보수 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396551&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,㈜어빌리티시스템즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=WkZWay94czdPRmZ3cGFFSnZDc0hqdz09,경기 과천시,경력무관,초대졸↑,정규직,정보 없음,"기술지원, 유지보수, 네트워크, 문서작성, R",2024/11/13,2024/12/15
[CJ그룹 계열사] CJ 4DPLEX 콘텐츠사업팀 데이터 분석 및 콘텐츠 실적 관리 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410881&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,씨제이포디플렉스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=YkxJMVZMZ1FoNGJ6YXB6K2VnQkc2UT09,서울 용산구,경력,학력무관,정규직,정보 없음,"데이터시각화, Python, 손익관리, PowerPoint, 영화제작",2024/11/22,2024/12/05
"2024년 하반기 신입, 경력 사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435405&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)에이치알에스,https://www.saramin.co.kr/zf_user/company-info/view?csn=MWQyS1dER1NiUnRzMFpCb0drMFhpUT09,서울전체,신입·경력,학력무관,정규직,정보 없음,"기술지원, 더존, 4대보험, 급여(Payroll), 원천세신고",2024/11/22,2024/12/19
나이스피앤아이 2024년 4분기 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445307&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,나이스피앤아이(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=VmljT3VTdmZQZEJqRTE3dU1lZWpYZz09,서울 영등포구,신입·경력,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수, 프론트엔드",2024/11/22,2024/12/08
[광화문역] 글로벌 IT기업 Map 데이터 분석 및 업데이트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484057&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)맨파워그룹코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmJ4OVQyczYwSExPNWdMZlh4SGtydz09,서울 종로구,경력무관,초대졸↑,계약직·파견직,정보 없음,"데이터분석가, 데이터엔지니어, DBA, 데이터라벨링, 데이터마이닝",2024/11/30,2024/12/16
[펄어비스] [신입/경력] AI 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487284&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)펄어비스,https://www.saramin.co.kr/zf_user/company-info/view?csn=MnQ4ZHN6Mk5VbElwcVN0ekRwSUJUZz09,경기 과천시,경력무관,학력무관,정규직,정보 없음,"TTS, AI(인공지능), Python, AI(인공지능), 알고리즘",2024/11/28,채용시
IT기획/기업교육(HRD) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386986&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(재)자동차부품산업진흥재단,https://www.saramin.co.kr/zf_user/company-info/view?csn=SWlwN0ZYbk04dWVKWjFyQjYrN1Urdz09,서울 용산구,경력,대졸↑,정규직,정보 없음,"기술지원, 웹개발, 웹마스터, 유지보수, IT컨설팅",2024/11/15,2024/12/01
2024년 한국호쿠쇼(주) 하반기 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404021&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국호쿠쇼(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=bmJyWnRMVEhuZC9jSHA0Rm5ISUE5Zz09,서울 강남구,경력 8~20년,초대졸↑,정규직,정보 없음,"데이터분석가, SE(시스템엔지니어), 기술영업, 영업관리, 영업직",2024/11/18,2024/12/16
[외국계기업] 기술ㆍ영업ㆍ경영관리 신입/경력 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408858&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,신코스모스전기코리아(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=dkFUL2ZmbTdWUlFBRm5HMW9qeEE3Zz09,서울전체,신입·경력,대졸↑,정규직,정보 없음,"기술지원, 기술영업, 영업관리, 영업지원, 영업직",2024/11/15,2024/12/04
색조화장품전문기업 (주)코디 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409415&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)코디,https://www.saramin.co.kr/zf_user/company-info/view?csn=a1owZ1N6R3dMS081ZFRvWms1dnZRUT09,경기 용인시 수지구,신입·경력,초대졸↑,정규직,정보 없음,"정보보안, 네트워크, IR/공시, 법인결산, 재무제표",2024/11/25,2024/12/17
FLIR 열화상카메라 한국총판 대현계측기(주) 신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502167&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,대현계측기(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=WkE1K285aDFON2FpT0pCblJndVI1UT09,서울 구로구,경력무관,학력무관,정규직,정보 없음,"기술지원, 기술영업, 장비영업, 영업, 판매",2024/12/01,2024/12/31
[NARA SPACE] 각 부문별 직원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394069&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)나라스페이스테크놀로지,https://www.saramin.co.kr/zf_user/company-info/view?csn=UElLb3BIek8wZGlZSHBYNDNTVzc0QT09,서울전체,신입·경력,초대졸↑,정규직,정보 없음,"데이터엔지니어, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",2024/11/26,상시채용
태광그룹 (주)한국케이블텔레콤 2024년 대졸 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428006&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)한국케이블텔레콤,https://www.saramin.co.kr/zf_user/company-info/view?csn=NkczOVlnODVJM3hNdmREUzJITE1lUT09,서울 중구,경력,대졸↑,정규직,정보 없음,"백엔드/서버개발, 보안컨설팅, 정보보안, CISO, 네트워크",2024/11/21,2024/12/04
[사이버보안AI랩스] Data Scientist 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474128&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,에스케이쉴더스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=WTZqYityZFcrMHJCYVFtOFJZQzc3UT09,경기 성남시 분당구,경력7년↑,학력무관,정규직,정보 없음,"딥러닝, 머신러닝, 빅데이터, AI(인공지능), Java",2024/11/27,2024/12/25
[여의도] 일본계 전자디바이스 수입기업 기술지원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439604&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)맨파워그룹코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmJ4OVQyczYwSExPNWdMZlh4SGtydz09,서울 영등포구,경력무관,초대졸↑,계약직·파견직,정보 없음,"기술지원, 데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝",2024/11/30,2024/12/16
[잠실/재택병행] 우아한형제들 네트워크 보안 운영 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501295&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)맨파워그룹코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmJ4OVQyczYwSExPNWdMZlh4SGtydz09,서울 송파구,경력,학력무관,계약직·파견직,정보 없음,"정보보안, ICT컨설팅, 네트워크, 솔루션, 트러블슈팅",2024/11/30,2024/12/30
각 분야별 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488490&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)두원전자통신,https://www.saramin.co.kr/zf_user/company-info/view?csn=VkN6RkNNYmZ4M3FTbER3bjBJTjRsQT09,서울 금천구,신입·경력,학력무관,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 딥러닝, 머신러닝",2024/11/28,2024/12/27
금융시장의 미래를 설계하는 데이터로드 경력 개발자모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483445&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)데이터로드,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZXkvelRydzZGWEVkWlcvVGMyUTJPdz09,서울전체,경력 2~5년,대졸↑,정규직,정보 없음,"앱개발, 웹개발, 네트워크, 솔루션, DBMS",2024/11/27,2024/12/09
"유명 반도체 중견 기업 IT Infra 구축, 운영 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502149&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,제이케이서치 주식회사,https://www.saramin.co.kr/zf_user/company-info/view?csn=eWF2LzFubUN4YUtwMEpiYi82clQrdz09,경기 성남시 분당구,경력 2~5년,대졸↑,정규직,정보 없음,"인프라, 헤드헌팅",2024/12/01,2024/12/31
2024년 각 부문 신입 및 경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335587&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,동아참메드(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=OUlaK2tJTzFPRFpVWS9uZEpNWDZsUT09,경기전체,신입·경력,초대졸↑,정규직·계약직,정보 없음,"유지보수, 임베디드, 펌웨어, H/W, S/W",2024/11/28,2024/12/02
[삼성반도체 1차 협력사] 사무/연구직 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485390&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)싸이노스,https://www.saramin.co.kr/zf_user/company-info/view?csn=cE5qMzZKZksrQ2xoWWYrVjVVU1d6QT09,경기전체,신입·경력,고졸↑,정규직,정보 없음,"데이터분석가, 보안컨설팅, 정보보안, Python, 세무사",2024/12/01,2024/12/31
2024년 12월 국내 및 해외 전부문 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494085&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)엔켐,https://www.saramin.co.kr/zf_user/company-info/view?csn=TVZNRXhwUExrTUtUSGpHTVJiR2Y2Zz09,서울전체,신입·경력,대졸↑,정규직,정보 없음,"앱개발, 웹개발, SE(시스템엔지니어), ERP, 감사",2024/12/01,2024/12/31
[잇올 본사] UI/UX 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496696&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)잇올,https://www.saramin.co.kr/zf_user/company-info/view?csn=V2tiKzhmVGJBREU3ZU5xR1JmRTZwQT09,서울전체,경력 4~15년,대졸↑,정규직,정보 없음,"CSS, 그래픽디자인, 모바일디자인, 앱디자인, 웹디자인",2024/12/01,2024/12/30
화장품 ODM ㈜이미인 시스템 운영 경력 채용(정보/IT/네트워크/서버/전산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490479&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)이미인,https://www.saramin.co.kr/zf_user/company-info/view?csn=M2ZPTGpwVzhQMklsOFc1YmxjQ29pZz09,경기 오산시,경력,학력무관,정규직,정보 없음,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, SE(시스템엔지니어)",2024/11/29,2024/12/30
2024년 12월 NE능률 신입 및 경력(수시) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498664&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)NE능률,https://www.saramin.co.kr/zf_user/company-info/view?csn=dldoYTVSbnUrMktSUHpjTEpPT2J5dz09,서울전체,신입·경력,초대졸↑,정규직·계약직,정보 없음,"백엔드/서버개발, 유지보수, 프론트엔드, SE(시스템엔지니어), 네트워크",2024/12/01,2024/12/31
"[앤씨앤/넥스트칩] 2024년 12월 연구소, 영업마케팅 각 부문 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488636&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)앤씨앤,https://www.saramin.co.kr/zf_user/company-info/view?csn=eCthaktWaExVU2FYM3ZLRUdGS3pYZz09,경기 성남시 분당구,신입·경력,학력무관,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 유지보수",2024/12/01,2024/12/31
2024년 각 분야별 채용 [신입/경력],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488902&location=ts&searchType=search&paid_fl=n&search_uuid=6d7664cb-fe74-4181-b666-10134db302ff,(주)넥서스원,https://www.saramin.co.kr/zf_user/company-info/view?csn=VTFoWWVYeDNaSjBCOHhyRlZNOWpCdz09,경기 화성시,신입·경력,초대졸↑,정규직,정보 없음,"게임개발, 기술지원, 백엔드/서버개발, 앱개발, 웹개발",2024/12/01,2024/12/31
