채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
[개발자우대]설비 모니터링 솔루션 구축 및 기술지원 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392693&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,주식회사 프레버소프트,https://www.saramin.co.kr/zf_user/company-info/view?csn=cDhQNTlTKzV0cVBjWmFWYVlhY2RmQT09,경기 용인시 기흥구,경력무관,학력무관,정규직,"3,500 만원","기술지원, 유지보수, 솔루션, 클라우드, Java",2024/11/30,2024/12/31
CRM 담당(데이터분석.고객생애주기.캠페인설계.SQL.3-12)대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500179&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)스카우트파트너스,https://www.saramin.co.kr/zf_user/company-info/view?csn=UU9Jb0wxTnAralk5aCs1akVLTDI4UT09,서울 강남구,경력 3~14년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 네트워크, 데이터마이닝",2024/11/30,2024/12/30
[여의도][IT 기업] 정보보호 컨설턴트 PM 또는 PL(7년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500168&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,헌터스그룹(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=TS9xRzFRRjFycTVZbSt6a1l1SmU5QT09,서울 영등포구,경력7년↑,대졸↑,정규직,정보 없음,"IT컨설팅, 보안",2024/11/30,2024/12/30
[여의도][IT기업] 서버 백엔드개발자(3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500163&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,헌터스그룹(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=TS9xRzFRRjFycTVZbSt6a1l1SmU5QT09,서울 영등포구,경력3년↑,학력무관,정규직,정보 없음,"백엔드/서버개발, 블록체인, Java, Spring, 헤드헌팅",2024/11/30,2024/12/30
[여의도][IT 기업]정보보호 컨설턴트 수행원(2~3년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500160&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,헌터스그룹(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=TS9xRzFRRjFycTVZbSt6a1l1SmU5QT09,서울 영등포구,경력2년↑,대졸↑,정규직,정보 없음,"IT컨설팅, 인프라, 클라우드, AWS, Azure",2024/11/30,2024/12/30
[매출 1.3조 전자부품/소재 중견기업] EV충전모듈 S/W개발(4~13),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500141&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,경기 수원시 팔달구,경력 4~13년,대졸↑,정규직,정보 없음,"알고리즘, S/W, Matlab, 알고리즘개발, 전장설계",2024/11/30,2024/12/06
[매출 1.3조 전자부품/소재 중견기업] 무선통신(BLE/Wifi)SW개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500139&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,경기 수원시 권선구,경력 4~13년,대졸↑,정규직,정보 없음,"S/W, S/W, LED, 솔루션, 인터페이스",2024/11/30,2024/12/06
[매출 1.3조 전자부품/소재 중견기업] 인버터 제어기 S/W개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500137&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,경기 수원시 영통구,경력 4~13년,대졸↑,정규직,정보 없음,"펌웨어, H/W, MCU, S/W, C++",2024/11/30,2024/12/06
[매출 1.3조 전자부품/소재 중견기업]생활가전 모터제어 S/W개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500135&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,경기 수원시 영통구,경력 4~13년,대졸↑,정규직,정보 없음,"펌웨어, H/W, MCU, S/W, C++",2024/11/30,2024/12/06
[매출 1.3조 전자부품/소재 중견기업] EV충전모듈 H/W개발(8~20),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500134&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,경기 수원시 영통구,경력 8~20년,대졸↑,정규직,정보 없음,"알고리즘, H/W, Matlab, 알고리즘개발, 전장설계",2024/11/30,2024/12/06
[코스닥 상장 산업용 영상/음향기기 선도기업] 임베디드 S/W개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500128&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 강북구,경력 8~13년,대졸↑,정규직,정보 없음,"임베디드, 펌웨어, H/W, MCU, S/W",2024/11/30,2024/12/06
[글로벌 체외진단의료기기 기업] 진단기기 HW개발 (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500111&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 3~15년,대졸↑,정규직,정보 없음,"펌웨어, H/W, MCU, 연구원, 생명과학",2024/11/30,2024/12/06
[글로벌 체외진단의료기기 기업] 생화학미터 펌웨어 개발 2명,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500107&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 3~12년,대졸↑,정규직,정보 없음,"임베디드, 펌웨어, MCU, C++, C언어",2024/11/30,2024/12/06
[글로벌 체외진단의료기기 기업] POC 진단기기 FW개발(3년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500102&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,에이치알포유(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=b0p2MmFPMXBSZnlxSEQ3Q29sVmRuZz09,서울 금천구,경력 3~15년,대졸↑,정규직,정보 없음,"펌웨어, MCU, C++, C언어, 연구원",2024/11/30,2024/12/06
국내 리서치 기업: 리서치 솔루션 개발(차부장/팀장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500085&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)백그라운드,https://www.saramin.co.kr/zf_user/company-info/view?csn=VjFQNTZTNVY0bndJc1E5TmVvcTcyQT09,서울 서초구,경력 8~20년,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, Nginx",2024/11/30,2024/12/30
[IT시스템구축 및 운영]중견제약사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500072&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,반석써치(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=RFovUjJwNmRVMjNrUC83LzVRNkVmdz09,서울 강남구,경력 4~7년,대졸↑,정규직,정보 없음,"IT컨설팅, 의약·제약",2024/11/30,2024/12/30
[IT솔루션] SAP컨설턴트(모듈별 1명),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487285&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,(주)핀커스코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=L2M2VzA0MlRicVcydGNKd2hlME1GUT09,서울 강남구,경력6년↑,초대졸↑,정규직,정보 없음,"SAP, ABAP, 헤드헌팅",2024/11/30,2024/12/07
TCAD 소자/공정 개발 경력/(박사 우대) - 반도체 대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500047&location=ts&searchType=search&paid_fl=n&search_uuid=f0f26b14-aa71-4917-9dad-acb1dc5c249d,그레이스앤파트너스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=WnN3eDA3UG9LbnpoQUZyMm1FeHpTZz09,서울 강남구,경력3년↑,대졸↑,정규직,정보 없음,"임베디드, S/W, 임베디드리눅스, 기술지원, 헤드헌팅",2024/11/30,2024/12/30
